,Title,Year,tomatoMeter,tomatoRating,tomatoReviews,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,imdbRating,imdbVotes,imdbID,Awards,Genre,Language,Country,Director,Rated,Runtime,Actors,Writer,Award_count,Noms_count,Noms+Awards,PrimaryLanguage,PrimaryCountry,PrimaryLangFixed,Crime,Drama,Thriller,Action,Adventure,Film_Noir,Mystery,Comedy,Family,Horror,Sci_Fi,Romance,Music,Fantasy,Western,War,Sport,History,Biography
36,Bangkok Dangerous,2008,9.0,3.4,94.0,26.0,2.8,132316.0,5.4,48901.0,tt0814022,1 nomination.,"Action, Crime, Thriller","English, Thai",USA,"Danny Pang, Oxide Chun Pang",R,99.0,"Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee","Jason Richman (screenplay), Oxide Chun Pang, Danny Pang",0,1,1,English,USA,English,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,The Magnificent Seven,1960,90.0,8.0,40.0,87.0,3.8,53540.0,7.8,68927.0,tt0054047,Nominated for 1 Oscar. Another 1 win & 5 nominations.,"Action, Adventure, Western","English, Spanish",USA,John Sturges,APPROVED,128.0,"Yul Brynner, Eli Wallach, Steve McQueen, Horst Buchholz",William Roberts (screenplay),1,6,7,English,USA,English,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,The Battle of the Sexes,1928,,,,64.0,3.1,520.0,6.7,290.0,tt0018678,N/A,Comedy,English,USA,D.W. Griffith,NOT RATED,88.0,"Jean Hersholt, Phyllis Haver, Belle Bennett, Sally O'Neil","Daniel Carson Goodman (from the story by), Gerrit J. Lloyd (adapted for the screen by)",0,0,0,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,The Beat That My Heart Skipped,2005,85.0,7.2,96.0,84.0,3.9,9793.0,7.3,15943.0,tt0411270,Won 1 BAFTA Film Award. Another 20 wins & 12 nominations.,"Action, Crime, Drama","French, English, Russian, Vietnamese, Mandarin",France,Jacques Audiard,UNRATED,108.0,"Romain Duris, Niels Arestrup, Jonathan Zaccaï, Gilles Cohen","Jacques Audiard (scenario), Tonino Benacquista (scenario), James Toback (earlier screenplay: d'après le film ""Fingers"" écrit et réalisé par)",21,12,33,French,France,French,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Beau Geste,1939,100.0,8.2,10.0,85.0,4.0,708.0,7.9,4335.0,tt0031088,N/A,"Action, Adventure, Drama","English, Arabic",USA,William A. Wellman,PASSED,112.0,"Gary Cooper, Ray Milland, Robert Preston, Brian Donlevy","Robert Carson (screen play), Percival Christopher Wren (based on the novel by)",0,0,0,English,USA,English,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Bedazzled,2000,49.0,5.5,113.0,42.0,2.7,371009.0,6.0,83419.0,tt0230030,1 win & 3 nominations.,"Comedy, Fantasy","English, Spanish, Russian","USA, Germany",Harold Ramis,PG-13,93.0,"Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor","Peter Cook (based on the motion picture screenplay by), Peter Cook (based on the motion picture story by), Dudley Moore (based on the motion picture story by), Larry Gelbart (screenplay), Harold Ramis (screenplay), Peter Tolan (screenplay)",1,3,4,English,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
42,Deaf Sam-ryong,1964,,,,,,,7.2,17.0,tt0388760,1 win.,Drama,Korean,South Korea,Sang-ok Shin,N/A,85.0,"Jin Kyu Kim, Eun-hie Choi, No-shik Park, Geum-bong Do",Do-hyang Na,1,0,1,Korean,South Korea,Korean,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Beyond a Reasonable Doubt,2009,7.0,3.3,28.0,36.0,2.8,12094.0,5.9,10653.0,tt1183251,N/A,"Crime, Drama, Mystery",English,"USA, Saudi Arabia",Peter Hyams,PG-13,106.0,"Jesse Metcalfe, Amber Tamblyn, Michael Douglas, Joel David Moore","Peter Hyams (screenplay), Douglas Morrow",0,0,0,English,USA,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,The Big Show,1961,,,,,,,5.6,105.0,tt0054681,N/A,Drama,English,USA,James B. Clark,APPROVED,113.0,"Esther Williams, Cliff Robertson, Nehemiah Persoff, Robert Vaughn",Ted Sherdeman,0,0,0,English,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,The Big Stampede,1932,,,,22.0,3.0,66.0,5.8,337.0,tt0022681,N/A,Western,"English, Spanish",USA,Tenny Wright,PASSED,54.0,"John Wayne, Noah Beery, Paul Hurst, Mae Madison","Marion Jackson (story ""The Land Beyond the Law""), Kurt Kempler (screen play & dialogue by)",0,0,0,English,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
