,Title_orig,Year_orig,imdbRating_orig,imdbVotes_orig,Runtime_orig,Award_count_orig,Noms_count_orig,Noms+Awards_orig,PrimaryCountry_orig,PrimaryLangFixed_orig,Crime_orig,Drama_orig,Thriller_orig,Action_orig,Adventure_orig,Film_Noir_orig,Mystery_orig,Comedy_orig,Family_orig,Horror_orig,Sci_Fi_orig,Romance_orig,Music_orig,Fantasy_orig,Western_orig,War_orig,Sport_orig,History_orig,Biography_orig,Title_remake,Year_remake,imdbRating_remake,imdbVotes_remake,Runtime_remake,Award_count_remake,Noms_count_remake,Noms+Awards_remake,PrimaryCountry_remake,PrimaryLangFixed_remake,Crime_remake,Drama_remake,Thriller_remake,Action_remake,Adventure_remake,Film_Noir_remake,Mystery_remake,Comedy_remake,Family_remake,Horror_remake,Sci_Fi_remake,Romance_remake,Music_remake,Fantasy_remake,Western_remake,War_remake,Sport_remake,History_remake,Biography_remake,SameLang,SameCountry,YearDiff
53,The Blue Angel,1930,7.8,10557.0,106.0,0,0,0,Germany,German,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,The Blue Angel,1959,6.2,232.0,107.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
54,Teacher's Pet,1930,8.2,183.0,20.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Bored of Education,1936,7.3,148.0,10.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6
55,Born Yesterday,1950,7.7,7555.0,103.0,4,10,14,USA,English,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Born Yesterday,1993,5.1,3177.0,100.0,0,1,1,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,43
56,Boudu Saved from Drowning,1932,7.5,3882.0,85.0,0,0,0,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boudu,2005,5.4,1046.0,104.0,0,1,1,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,73
57,The Window,1949,7.5,2255.0,73.0,1,3,4,USA,English,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Boy Cried Murder,1966,6.0,49.0,86.0,0,0,0,UK,English,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
58,Breathless,1960,7.9,53856.0,90.0,4,3,7,France,French,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Breathless,1983,5.8,6695.0,100.0,0,0,0,USA,English,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23
59,Bride Wars,2009,5.4,81335.0,89.0,1,8,9,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Bride Wars,2015,4.8,60.0,90.0,0,0,0,China,Chinese,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
60,Brian's Song,1971,7.6,5942.0,73.0,10,8,18,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Brian's Song,2001,6.8,1267.0,88.0,0,0,0,USA,English,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,30
61,Brothers,2004,7.6,9600.0,117.0,13,21,34,Denmark,Danish,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Brothers,2009,7.1,89958.0,105.0,3,15,18,USA,English,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
62,A Bucket of Blood,1959,6.8,4171.0,66.0,0,0,0,USA,English,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,A Bucket of Blood,1995,4.9,300.0,83.0,0,0,0,USA,English,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,36
63,A Pain in the Ass,1973,7.2,2163.0,85.0,0,0,0,France,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Buddy Buddy,1981,6.6,3383.0,96.0,0,2,2,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
64,Bachelor Mother,1939,7.7,2742.0,82.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Bundle of Joy,1956,6.1,627.0,98.0,0,0,0,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,17
65,The Burmese Harp,1956,8.1,4067.0,116.0,4,3,7,Japan,Japanese,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,The Burmese Harp,1985,6.5,122.0,133.0,2,7,9,Japan,Japanese,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,29
66,The Cabinet of Dr. Caligari,1920,8.1,40623.0,67.0,0,0,0,Germany,German,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,The Cabinet of Dr. Caligari,2005,5.8,540.0,76.0,4,0,4,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85
67,Cape Fear,1962,7.8,20890.0,105.0,0,0,0,USA,English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cape Fear,1991,7.3,130807.0,128.0,4,17,21,USA,English,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29
68,The Captain's Table,1959,7.2,239.0,90.0,0,0,0,UK,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Captain,1971,5.1,103.0,93.0,1,0,1,West Germany,German,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
69,Carnival of Souls,1962,7.2,13997.0,78.0,0,0,0,USA,English,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,Carnival of Souls,1998,3.3,1798.0,90.0,0,0,0,USA,English,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,36
70,Carrie,1976,7.4,128796.0,98.0,3,7,10,USA,English,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carrie,2013,5.9,110577.0,100.0,5,7,12,USA,English,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,37
71,The Cat and the Canary,1927,7.2,1966.0,108.0,0,0,0,USA,English,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,The Cat and the Canary,1939,7.3,1571.0,72.0,0,0,0,USA,English,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,12
72,Cat People,1942,7.4,13660.0,73.0,1,2,3,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Cat People,1982,6.1,14474.0,118.0,0,3,3,USA,English,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,40
73,Catch That Girl,2002,6.1,899.0,90.0,7,6,13,Denmark,Danish,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Catch That Kid,2004,5.2,8166.0,91.0,0,1,1,USA,English,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
